Href, ImageUrl, Title, Rating, NumRatings, DataSupplier, DataAuthor, DataPublisher, DataPublishYear, DataSize, DataBookLayout, Des, DataQtyOfPage, Cate0, Cate1, Cate2, Cate3, PriceSpecial, PriceOld
https://www.fahasa.com/solo-leveling-toi-thang-cap-mot-minh-tap-11-tang-kem-obi-2-pvc-card.html https://cdn0.fahasa.com/media/catalog/product/s/o/solo-leveling_bia_pvc-card_-tap-11.jpg "

					Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 11 - Tặng Kèm Obi + 2 PVC Card				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Dubu (Redice Studio), Chugong				" "
				    Kim Đồng				" "
				    2024				" "
				    20.5 x 14.5 x 0.8 cm				" "
				    Bìa Mềm				" "
Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 11
“TÔI MUỐN THẤY THÀNH QUẢ MÀ NGÀI JIN WOO ĐẠT ĐƯỢC.”
Ác quỷ Quý tộc Esil đầu hàng và trở thành người đồng hành bên Sung Jin Woo trong Thành Ác Quỷ. Có người dẫn lối, cuộc chinh phạt của Sung Jin Woo bắt đầu tăng tốc.
Liệu anh có thể chiến thắng Vua Ác quỷ Varan trên tầng 100!?
Trong khi đó, tình hình ở Hiệp hội Thợ săn cũng bắt đầu có biến động... 
" "
				    160				" "Sách tiếng Việt" "Manga - Comic" "Comic - Truyện Tranh" "Truyện Tranh Nước Ngoài" "83.600 đ" "88.000 đ"
https://www.fahasa.com/hen-gap-lai-quoc-vuong-cua-toi-tap-1-tang-kem-postcard.html https://cdn0.fahasa.com/media/catalog/product/1/4/140324-2.jpg "

					Hẹn Gặp Lại, Quốc Vương Của Tôi - Tập 1 - Tặng Kèm Postcard				" "" "(0 đánh giá)" "
AZ Việt Nam " "
				    Ôn Viễn				" "
				    Dân Trí				" "
				    2024				" "
				    20.5 x 14.5 x 1.1 cm				" "
				    Bìa Mềm				" "
Hẹn Gặp Lại, Quốc Vương Của Tôi - Tập 1
Trong dòng chảy thời gian vô tận, có những nền văn minh cổ đại bị biến mất hoàn toàn một cách bí ẩn. Ebis chính là một vương quốc xa xưa, nay chỉ còn lại vài di tích ít ỏi. Tình cờ trong một lần thám hiểm, Trương Lê - sinh viên ngành y có niềm yêu thích với khảo cổ đã gặp phải một tượng đá kỳ lạ trong lăng mộ Ebis. Chính pho tượng đá ấy đã cứu cậu khỏi tay lũ trộm mộ và tạo nên một bước ngoặt trong cuộc đời Trương Lê, mở ra một thế giới mới mà cậu không thể ngờ tới!!
Mối nhân duyên vượt qua cả không gian và thời gian liệu sẽ đi về đâu? Mời các bạn đón đọc tập đầu tiên của bộ truyện tranh kỳ ảo HẸN GẶP LẠI, QUỐC VƯƠNG CỦA TÔI! 
" "
				    232				" "Sách tiếng Việt" "Manga - Comic" "Comic - Truyện Tranh" "Truyện Tranh Nước Ngoài" "119.250 đ" "159.000"
https://www.fahasa.com/solo-leveling-toi-thang-cap-mot-minh-tap-10-tang-kem-obi-2-pvc-card.html https://cdn0.fahasa.com/media/catalog/product/s/o/solo-leveling_bia_obi_card_tap-10.jpg "

					Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 10 - Tặng Kèm Obi + 2 PVC Card				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Dubu (Redice Studio), Chugong				" "
				    Kim Đồng				" "
				    2024				" "
				    20.5 x 14.5 x 0.8 cm				" "
				    Bìa Mềm				" "
Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 10
THỢ SĂN SUNG JIN WOO, sau khi bị cuốn vào trận chiến với Trùm của HẦM NGỤC HẠNG A, không thể che giấu được khả năng thực sự bởi đội ngũ triệu hồi thú mà anh gọi ra đã gây ngỡ ngàng cho tất cả những người chứng kiến lúc đó...
“PHẢI CHĂNG ĐÃ TỚI LÚC ĐỂ THỢ SĂN HẠNG S THỨ 10 LỘ DIỆN!!?” 
" "
				    164				" "Sách tiếng Việt" "Manga - Comic" "Comic - Truyện Tranh" "Truyện Tranh Nước Ngoài" "75.680 đ" "88.000"
https://www.fahasa.com/yeu-tham.html https://cdn0.fahasa.com/media/catalog/product/x/x/xxx600b_a-y_u-th_m_1.jpg "

					Yêu Thầm				" "" "(0 đánh giá)" "
AZ Việt Nam " "
				    Cát Xuyên Lưu				" "
				    NXB Hà Nội				" "
				    2022				" "
				    24 x 16 cm				" "
				    Bìa Mềm				" "
Yêu Thầm
Thời học sinh bạn đã bao giờ crush ai chưa?
Cậu bạn cùng bàn?
Lớp trưởng học giỏi?
Hay một anh khóa trên điển trai?
...
Chắc hẳn rất nhiều người trong chúng ta đều từng có một thời thầm thương trộm nhớ ai đó. Giống như cô bạn nhỏ nhắn Bách Linh và cậu hot boy An Dư Triết thầm thích nhau mà không hay vậy.
“Yêu thầm” là câu chuyện tuổi mới lớn với những ngại ngùng, quan tâm vô tình và ghen tuông nho nhỏ, khiến màu sắc cuộc sống của đôi bạn trẻ trở nên tươi đẹp và muôn màu hơn. Đồng thời bộ truyện cũng giúp người đọc trải nghiệm những cung bậc cảm xúc ngọt ngào, lãng mạn, đôi khi trầm lắng nhưng lại ngây ngô ngốc nghếch của cả hai. 
" "
				    260				" "Sách tiếng Việt" "Manga - Comic" "Comic - Truyện Tranh" "Truyện Tranh Nước Ngoài" "128.700 đ" "165.000 đ"
https://www.fahasa.com/solo-leveling-toi-thang-cap-mot-minh-tap-1-tang-kem-obi-2-pvc-card.html https://cdn0.fahasa.com/media/catalog/product/s/o/solo-leveling_bia-obi_pvc-card_tap-1.jpg "

					Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 1 - Tặng Kèm Obi + 2 PVC Card				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Dubu (Redice Studio), Chugong				" "
				    Kim Đồng				" "
				    2023				" "
				    20.5 x 14.5 x 1 cm				" "
				    Bìa Mềm				" "
Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 1
SUNG JIN WOO, THỢ SĂN HẠNG E YẾU ỚT BẬC NHẤT nghèo khổ, tài năng không có mà cũng chẳng được ai chống lưng. Trong một chuyến công phá để kiếm kế sinh nhai, cậu tình cờ tìm thấy HẦM NGỤC KÉP. Trên chiến trường tàn khốc, cậu đã lựa chọn con đường cô độc nhất…
Từ kẻ yếu ớt trở thành Thợ săn mạnh nhất!!
Chỉ-mình-tôi chinh phục nơi chiến trường! - SOLO LEVELING - Series truyện tranh Webtoon đình đám khuynh đảo toàn thế giới, từ Anh, Mĩ, Đức, Brazil, Ucraina, Nhật Bản, Pháp… nay đã có mặt tại Việt Nam với bản sách giấy!!
Bên cạnh việc sách được in màu toàn bộ, khuôn khổ lớn hơn sách Manga thông thường, thì bản sách giấy đã được NXB Kim Đồng dày công thực hiện với nhiều điểm đặc biệt chỉ có cho độc giả Việt Nam: Dàn lại toàn bộ khung tranh bên trong cho phù hợp với sách giấy, làm bìa áo và Obi giới thiệu nội dung. Cùng 2 chiếc PVC Card tặng kèm cho mỗi tập, đây chắc chắn sẽ là ấn phẩm truyện tranh màu bùng nổ trong mùa hè 2023!!
Người dễ dàng bỏ cuộc không bao giờ có thể trở-thành-kẻ-mạnh! Xin mời các bạn cùng bước vào hành trình thăng cấp một mình của Sung Jin Woo nhé. 
" "
				    168				" "Sách tiếng Việt" "Manga - Comic" "Comic - Truyện Tranh" "Truyện Tranh Nước Ngoài" "83.600 đ" "88.000 đ"
https://www.fahasa.com/solo-leveling-toi-thang-cap-mot-minh-tap-4-tang-kem-obi-2-pvc-card.html https://cdn0.fahasa.com/media/catalog/product/s/o/solo-leveling_toi-thang-cap-mot-minh_bia_obi_tap-4.jpg "

					Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 4 - Tặng Kèm Obi + 2 PVC Card				" "" "(0 đánh giá)" "
Nhà Xuất Bản Kim Đồng " "
				    Dubu (Redice Studio), Chugong				" "
				    Kim Đồng				" "
				    2023				" "
				    20.5 x 14.5 x 0.7 cm				" "
				    Bìa Mềm				" "
Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 4
“KẺ THÙ MẠNH HƠN HẲN MỘT BẬC
NÊN KHÔNG THỂ TỐN THỜI GIAN THÊM NỮA!”
SUNG JIN WOO, THỢ SĂN HẠNG E YẾU ỚT BẬC NHẤT nghèo khổ, tài năng không có mà cũng chẳng được ai chống lưng.
BÊN TRONG HẦM NGỤC, quy luật CÁ LỚN NUỐT CÁ BÉ áp đảo mọi luân thường đạo lí… Phải làm gì trước yêu cầu vô cùng ngặt nghèo mà Hệ thống đưa ra…!?
“Thợ săn sinh ra là để săn mồi mà.” 
" "
				    152				" "Sách tiếng Việt" "Manga - Comic" "Comic - Truyện Tranh" "Truyện Tranh Nước Ngoài" "83.600 đ" "88.000 đ"
https://www.fahasa.com/than-den-tap-1-tang-kem-bia-2-lop-postcard-pvc-mau-booklet-4-trang-dac-biet.html https://cdn0.fahasa.com/media/catalog/product/z/5/z5219284660809_2211351b4f8230ba5bace2f2ecdba30d.jpg "

					Thần Đèn - Tập 1 - Tặng Kèm Bìa 2 Lớp + Postcard PVC Màu + Booklet 4 Trang Đặc Biệt 				" "" "(0 đánh giá)" "
XYZ " "
				    Thâm Hải Cự Cẩu				" "
				    Dân Trí				" "
				    2024				" "
				    18 x 13 x 1.1 cm				" "
				    Bìa Mềm				" "
Thần Đèn - Tập 1
Tương truyền rằng có một tinh linh sở hữu sức mạnh vô ngần bị nhốt trong cây đèn thần, ai tìm thấy đèn thần thì có thể trở thành chủ nhân của tinh linh. Tinh linh sẽ thực hiện ba điều ước của chủ nhân. Sau khi điều ước cuối cùng thành hiện thực, tinh linh sẽ có được sự tự do.
Cậu bé Red sống tại một ngôi làng bị núi lửa tàn phá, toàn bộ gia sản chỉ có hai chú cừu nhỏ. Khi Red đến tuổi có thể đi chăn cừu một mình, mẹ dặn cậu không được bén mảng lại gần núi lửa kia. Tinh linh mưu ma chước quỷ, sẽ làm mụ mị đầu óc con người rồi nuốt linh hồn họ.
Red nhớ như in lời mẹ dặn, thế nhưng cừu của cậu lại sẩy chân ngã xuống một cái hang tối om. Ở đó, cậu tìm thấy cây đèn thần, gọi ra tinh linh và được ban cho ba điều ước...
Khác với truyện cổ tích, Red không ước mình có gia tài khổng lồ, không ước mình được lấy công chúa - cậu ước mình được sống cuộc đời của một anh hùng giống cha mình.
Để thực hiện điều ước của Red, Thần Đèn không chỉ ban cho cậu phước lành mà còn biến thành cậu bạn đồng hành với Red từ thuở niên thiếu tới khi trở thành một người lính can đảm. Azur kề vai chiến đấu bên Red và rồi hy sinh như bao người bạn chí cốt của các anh hùng khác.
